Officer-defined ethnicity,Date,Object of search,Gender,Age range,count
Asian,2020-01-01,Anything to threaten or harm anyone,Female,10-17,1
Asian,2020-01-01,Anything to threaten or harm anyone,Female,18-24,2
Asian,2020-01-01,Anything to threaten or harm anyone,Female,25-34,4
Asian,2020-01-01,Anything to threaten or harm anyone,Female,over 34,1
Asian,2020-01-01,Anything to threaten or harm anyone,Male,10-17,31
Asian,2020-01-01,Anything to threaten or harm anyone,Male,18-24,49
Asian,2020-01-01,Anything to threaten or harm anyone,Male,25-34,24
Asian,2020-01-01,Anything to threaten or harm anyone,Male,over 34,13
Asian,2020-01-01,Articles for use in criminal damage,Male,10-17,6
Asian,2020-01-01,Articles for use in criminal damage,Male,18-24,6
Asian,2020-01-01,Articles for use in criminal damage,Male,25-34,1
Asian,2020-01-01,Articles for use in criminal damage,Male,over 34,2
Asian,2020-01-01,Controlled drugs,Female,10-17,9
Asian,2020-01-01,Controlled drugs,Female,18-24,53
Asian,2020-01-01,Controlled drugs,Female,25-34,25
Asian,2020-01-01,Controlled drugs,Female,over 34,3
Asian,2020-01-01,Controlled drugs,Male,10-17,295
Asian,2020-01-01,Controlled drugs,Male,18-24,1401
Asian,2020-01-01,Controlled drugs,Male,25-34,730
Asian,2020-01-01,Controlled drugs,Male,over 34,285
Asian,2020-01-01,Controlled drugs,Other,18-24,1
Asian,2020-01-01,Evidence of offences under the Act,Male,10-17,27
Asian,2020-01-01,Evidence of offences under the Act,Male,18-24,29
Asian,2020-01-01,Evidence of offences under the Act,Male,25-34,18
Asian,2020-01-01,Evidence of offences under the Act,Male,over 34,38
Asian,2020-01-01,Firearms,Female,over 34,1
Asian,2020-01-01,Firearms,Male,10-17,2
Asian,2020-01-01,Firearms,Male,18-24,9
Asian,2020-01-01,Firearms,Male,25-34,6
Asian,2020-01-01,Firearms,Male,over 34,1
Asian,2020-01-01,Fireworks,Male,10-17,2
Asian,2020-01-01,Fireworks,Male,25-34,1
Asian,2020-01-01,Offensive weapons,Female,10-17,15
Asian,2020-01-01,Offensive weapons,Female,18-24,7
Asian,2020-01-01,Offensive weapons,Male,10-17,162
Asian,2020-01-01,Offensive weapons,Male,18-24,240
Asian,2020-01-01,Offensive weapons,Male,25-34,94
Asian,2020-01-01,Offensive weapons,Male,over 34,42
Asian,2020-01-01,Stolen goods,Female,10-17,3
Asian,2020-01-01,Stolen goods,Female,25-34,3
Asian,2020-01-01,Stolen goods,Female,over 34,6
Asian,2020-01-01,Stolen goods,Male,10-17,59
Asian,2020-01-01,Stolen goods,Male,18-24,83
Asian,2020-01-01,Stolen goods,Male,25-34,39
Asian,2020-01-01,Stolen goods,Male,over 34,56
Asian,2020-02-01,Anything to threaten or harm anyone,Male,10-17,18
Asian,2020-02-01,Anything to threaten or harm anyone,Male,18-24,27
Asian,2020-02-01,Anything to threaten or harm anyone,Male,25-34,14
Asian,2020-02-01,Anything to threaten or harm anyone,Male,over 34,7
Asian,2020-02-01,Anything to threaten or harm anyone,Other,10-17,1
Asian,2020-02-01,Articles for use in criminal damage,Male,10-17,4
Asian,2020-02-01,Articles for use in criminal damage,Male,18-24,2
Asian,2020-02-01,Articles for use in criminal damage,Male,over 34,1
Asian,2020-02-01,Controlled drugs,Female,10-17,11
Asian,2020-02-01,Controlled drugs,Female,18-24,44
Asian,2020-02-01,Controlled drugs,Female,25-34,24
Asian,2020-02-01,Controlled drugs,Female,over 34,9
Asian,2020-02-01,Controlled drugs,Male,10-17,271
Asian,2020-02-01,Controlled drugs,Male,18-24,1159
Asian,2020-02-01,Controlled drugs,Male,25-34,596
Asian,2020-02-01,Controlled drugs,Male,over 34,213
Asian,2020-02-01,Controlled drugs,Other,18-24,1
Asian,2020-02-01,Evidence of offences under the Act,Female,10-17,1
Asian,2020-02-01,Evidence of offences under the Act,Male,10-17,31
Asian,2020-02-01,Evidence of offences under the Act,Male,18-24,23
Asian,2020-02-01,Evidence of offences under the Act,Male,25-34,19
Asian,2020-02-01,Evidence of offences under the Act,Male,over 34,21
Asian,2020-02-01,Firearms,Female,25-34,1
Asian,2020-02-01,Firearms,Female,over 34,1
Asian,2020-02-01,Firearms,Male,10-17,2
Asian,2020-02-01,Firearms,Male,18-24,7
Asian,2020-02-01,Firearms,Male,25-34,5
Asian,2020-02-01,Fireworks,Male,10-17,2
Asian,2020-02-01,Offensive weapons,Female,10-17,4
Asian,2020-02-01,Offensive weapons,Female,18-24,5
Asian,2020-02-01,Offensive weapons,Female,25-34,1
Asian,2020-02-01,Offensive weapons,Female,over 34,1
Asian,2020-02-01,Offensive weapons,Male,10-17,136
Asian,2020-02-01,Offensive weapons,Male,18-24,170
Asian,2020-02-01,Offensive weapons,Male,25-34,65
Asian,2020-02-01,Offensive weapons,Male,over 34,26
Asian,2020-02-01,Offensive weapons,Male,under 10,1
Asian,2020-02-01,Stolen goods,Female,10-17,2
Asian,2020-02-01,Stolen goods,Female,18-24,1
Asian,2020-02-01,Stolen goods,Female,25-34,5
Asian,2020-02-01,Stolen goods,Female,over 34,5
Asian,2020-02-01,Stolen goods,Male,10-17,54
Asian,2020-02-01,Stolen goods,Male,18-24,71
Asian,2020-02-01,Stolen goods,Male,25-34,47
Asian,2020-02-01,Stolen goods,Male,over 34,38
Asian,2020-03-01,Anything to threaten or harm anyone,Female,10-17,2
Asian,2020-03-01,Anything to threaten or harm anyone,Female,25-34,1
Asian,2020-03-01,Anything to threaten or harm anyone,Male,10-17,11
Asian,2020-03-01,Anything to threaten or harm anyone,Male,18-24,47
