Officer-defined ethnicity,Date,Outcome,Gender,Age range,count
Asian,2020-01-01,A no further action disposal,Female,10-17,26
Asian,2020-01-01,A no further action disposal,Female,18-24,44
Asian,2020-01-01,A no further action disposal,Female,25-34,24
Asian,2020-01-01,A no further action disposal,Female,over 34,8
Asian,2020-01-01,A no further action disposal,Male,10-17,503
Asian,2020-01-01,A no further action disposal,Male,18-24,1345
Asian,2020-01-01,A no further action disposal,Male,25-34,639
Asian,2020-01-01,A no further action disposal,Male,over 34,303
Asian,2020-01-01,A no further action disposal,Other,18-24,1
Asian,2020-01-01,Arrest,Female,10-17,2
Asian,2020-01-01,Arrest,Female,18-24,7
Asian,2020-01-01,Arrest,Female,25-34,2
Asian,2020-01-01,Arrest,Male,10-17,59
Asian,2020-01-01,Arrest,Male,18-24,155
Asian,2020-01-01,Arrest,Male,25-34,94
Asian,2020-01-01,Arrest,Male,over 34,68
Asian,2020-01-01,Caution (simple or conditional),Female,over 34,2
Asian,2020-01-01,Caution (simple or conditional),Male,10-17,1
Asian,2020-01-01,Caution (simple or conditional),Male,25-34,1
Asian,2020-01-01,Community resolution,Female,18-24,10
Asian,2020-01-01,Community resolution,Female,25-34,6
Asian,2020-01-01,Community resolution,Female,over 34,1
Asian,2020-01-01,Community resolution,Male,10-17,14
Asian,2020-01-01,Community resolution,Male,18-24,195
Asian,2020-01-01,Community resolution,Male,25-34,129
Asian,2020-01-01,Community resolution,Male,over 34,39
Asian,2020-01-01,Penalty Notice for Disorder,Female,18-24,1
Asian,2020-01-01,Penalty Notice for Disorder,Male,10-17,1
Asian,2020-01-01,Penalty Notice for Disorder,Male,18-24,89
Asian,2020-01-01,Penalty Notice for Disorder,Male,25-34,42
Asian,2020-01-01,Penalty Notice for Disorder,Male,over 34,17
Asian,2020-01-01,Summons / charged by post,Male,10-17,6
Asian,2020-01-01,Summons / charged by post,Male,18-24,33
Asian,2020-01-01,Summons / charged by post,Male,25-34,8
Asian,2020-01-01,Summons / charged by post,Male,over 34,10
Asian,2020-02-01,A no further action disposal,Female,10-17,15
Asian,2020-02-01,A no further action disposal,Female,18-24,41
Asian,2020-02-01,A no further action disposal,Female,25-34,22
Asian,2020-02-01,A no further action disposal,Female,over 34,12
Asian,2020-02-01,A no further action disposal,Male,10-17,450
Asian,2020-02-01,A no further action disposal,Male,18-24,1086
Asian,2020-02-01,A no further action disposal,Male,25-34,518
Asian,2020-02-01,A no further action disposal,Male,over 34,224
Asian,2020-02-01,A no further action disposal,Male,under 10,1
Asian,2020-02-01,A no further action disposal,Other,10-17,1
