Officer-defined ethnicity,Date,Object of search,Outcome,Type,Gender,Age range,count
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person and Vehicle search,Female,18-24,1
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person and Vehicle search,Male,10-17,1
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person and Vehicle search,Male,18-24,8
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person and Vehicle search,Male,25-34,8
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person and Vehicle search,Male,over 34,4
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Female,10-17,1
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Female,18-24,1
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Female,25-34,4
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Female,over 34,1
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Male,10-17,30
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Male,18-24,35
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Male,25-34,14
Asian,2020-01-01,Anything to threaten or harm anyone,A no further action disposal,Person search,Male,over 34,7
Asian,2020-01-01,Anything to threaten or harm anyone,Arrest,Person and Vehicle search,Male,18-24,2
Asian,2020-01-01,Anything to threaten or harm anyone,Arrest,Person search,Male,18-24,1
Asian,2020-01-01,Anything to threaten or harm anyone,Arrest,Person search,Male,25-34,1
Asian,2020-01-01,Anything to threaten or harm anyone,Community resolution,Person and Vehicle search,Male,18-24,1
Asian,2020-01-01,Anything to threaten or harm anyone,Community resolution,Person and Vehicle search,Male,25-34,1
Asian,2020-01-01,Anything to threaten or harm anyone,Community resolution,Person search,Male,18-24,2
Asian,2020-01-01,Anything to threaten or harm anyone,Penalty Notice for Disorder,Person and Vehicle search,Male,over 34,1
Asian,2020-01-01,Anything to threaten or harm anyone,Penalty Notice for Disorder,Person search,Male,over 34,1
Asian,2020-01-01,Articles for use in criminal damage,A no further action disposal,Person search,Male,10-17,5
Asian,2020-01-01,Articles for use in criminal damage,A no further action disposal,Person search,Male,18-24,6
Asian,2020-01-01,Articles for use in criminal damage,A no further action disposal,Person search,Male,over 34,1
Asian,2020-01-01,Articles for use in criminal damage,Arrest,Person search,Male,25-34,1
Asian,2020-01-01,Articles for use in criminal damage,Arrest,Person search,Male,over 34,1
Asian,2020-01-01,Articles for use in criminal damage,Community resolution,Person search,Male,10-17,1
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Female,10-17,1
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Female,18-24,8
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Female,25-34,6
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Male,10-17,17
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Male,18-24,394
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Male,25-34,212
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person and Vehicle search,Male,over 34,40
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Female,10-17,5
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Female,18-24,27
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Female,25-34,11
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Female,over 34,1
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Male,10-17,235
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Male,18-24,594
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Male,25-34,278
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Male,over 34,151
Asian,2020-01-01,Controlled drugs,A no further action disposal,Person search,Other,18-24,1
Asian,2020-01-01,Controlled drugs,A no further action disposal,Vehicle search,Female,10-17,1
Asian,2020-01-01,Controlled drugs,A no further action disposal,Vehicle search,Male,18-24,5
Asian,2020-01-01,Controlled drugs,A no further action disposal,Vehicle search,Male,25-34,3
Asian,2020-01-01,Controlled drugs,Arrest,Person and Vehicle search,Female,18-24,4
Asian,2020-01-01,Controlled drugs,Arrest,Person and Vehicle search,Female,25-34,1
Asian,2020-01-01,Controlled drugs,Arrest,Person and Vehicle search,Male,10-17,5
Asian,2020-01-01,Controlled drugs,Arrest,Person and Vehicle search,Male,18-24,58
Asian,2020-01-01,Controlled drugs,Arrest,Person and Vehicle search,Male,25-34,40
Asian,2020-01-01,Controlled drugs,Arrest,Person and Vehicle search,Male,over 34,11
Asian,2020-01-01,Controlled drugs,Arrest,Person search,Female,10-17,2
Asian,2020-01-01,Controlled drugs,Arrest,Person search,Female,18-24,3
Asian,2020-01-01,Controlled drugs,Arrest,Person search,Female,25-34,1
Asian,2020-01-01,Controlled drugs,Arrest,Person search,Male,10-17,23
Asian,2020-01-01,Controlled drugs,Arrest,Person search,Male,18-24,51
Asian,2020-01-01,Controlled drugs,Arrest,Person search,Male,25-34,24
Asian,2020-01-01,Controlled drugs,Arrest,Person search,Male,over 34,34
Asian,2020-01-01,Controlled drugs,Arrest,Vehicle search,Male,18-24,2
Asian,2020-01-01,Controlled drugs,Caution (simple or conditional),Person and Vehicle search,Female,over 34,2
Asian,2020-01-01,Controlled drugs,Caution (simple or conditional),Person and Vehicle search,Male,25-34,1
Asian,2020-01-01,Controlled drugs,Caution (simple or conditional),Person search,Male,10-17,1
Asian,2020-01-01,Controlled drugs,Community resolution,Person and Vehicle search,Female,18-24,2
Asian,2020-01-01,Controlled drugs,Community resolution,Person and Vehicle search,Female,25-34,3
Asian,2020-01-01,Controlled drugs,Community resolution,Person and Vehicle search,Male,10-17,4
Asian,2020-01-01,Controlled drugs,Community resolution,Person and Vehicle search,Male,18-24,72
Asian,2020-01-01,Controlled drugs,Community resolution,Person and Vehicle search,Male,25-34,65
Asian,2020-01-01,Controlled drugs,Community resolution,Person and Vehicle search,Male,over 34,9
Asian,2020-01-01,Controlled drugs,Community resolution,Person search,Female,18-24,8
Asian,2020-01-01,Controlled drugs,Community resolution,Person search,Female,25-34,3
Asian,2020-01-01,Controlled drugs,Community resolution,Person search,Male,10-17,6
Asian,2020-01-01,Controlled drugs,Community resolution,Person search,Male,18-24,111
Asian,2020-01-01,Controlled drugs,Community resolution,Person search,Male,25-34,58
Asian,2020-01-01,Controlled drugs,Community resolution,Person search,Male,over 34,16
Asian,2020-01-01,Controlled drugs,Community resolution,Vehicle search,Male,18-24,1
Asian,2020-01-01,Controlled drugs,Community resolution,Vehicle search,Male,over 34,2
Asian,2020-01-01,Controlled drugs,Penalty Notice for Disorder,Person and Vehicle search,Male,10-17,1
Asian,2020-01-01,Controlled drugs,Penalty Notice for Disorder,Person and Vehicle search,Male,18-24,41
Asian,2020-01-01,Controlled drugs,Penalty Notice for Disorder,Person and Vehicle search,Male,25-34,24
Asian,2020-01-01,Controlled drugs,Penalty Notice for Disorder,Person and Vehicle search,Male,over 34,4
Asian,2020-01-01,Controlled drugs,Penalty Notice for Disorder,Person search,Female,18-24,1
